owner_id,owner_name,owner_email,owner_phone_number
1,Stella Rodriquez,stella12@email.com,242-555-4589
2,Tara Mitchell,taram@email.com,706-555-4473
3,Desiree Brewer,dbrewer@email.com,893-555-9355
4,Lynn Curtis,lynn67@email.com,574-555-5624
5,Jenna Patterson,jennap@email.com,562-555-9481
6,Miguel Harper,miguel1829@email.com,412-555-9024
7,Melvin Malone,mm343@email.com,839-555-3923
8,Marcia Richardson,marciarichards23@email.com,262-555-6937
9,Tyler Webster,websterty32@email.com,824-555-6834
10,Emanuel Newton,emanuel576@email.com,887-555-4694
11,Penny Bryan,pennyb95@email.com,556-555-3018
12,Essie Stanley,essies90@email.com,618-555-2500
13,Jill Wise,jillwise@email.com,824-555-2318
14,Jason Wheeler,jasonw234@email.com,348-555-3995
15,Susan Stone,susanstone234@email.com,833-555-2366
16,Florence Crawford,fcrawford98@email.com,349-555-4502
17,Ruben Love,ruben000@email.com,974-555-7781
18,Ricardo Clark,clark345@email.com,606-555-2564
19,Erick Santiago,ericksan45@email.com,944-555-3958
20,Mona Greer,mona985@email.com,243-555-3456
21,Kent Perkins,perkins948@email.com,456-555-9927
22,Donna Ford,donnaford34@email.com,674-555-2734
23,Melanie Stokes,mealniestokes@email.com,346-555-6873
24,Frederick Ward,frederickward1@email.com,208-555-3342
25,Ellis Pittman,ellisp867@email.com,495-555-5350
26,Casey Hammond,caseyh858@email.com,967-555-3295
27,Marie Hunt,mariehunt@email.com,938-555-6882
28,Maureen Morris,mm20938@email.com,907-555-5686
29,Gerald Woods,geraldwoods23@email.com,479-555-9789
30,Terence Austin,terence234@email.com,488-555-2810
31,Krystal Gross,krystalgross9875@email.com,810-555-6864
32,Erik Spencer,erickspencer23@email.com,484-555-5269
33,Ellis Lee,ellislee@email.com,780-555-5114
34,Bridget Peters,bridgetpeters34@email.com,564-555-5135
35,Brandi Jones,brandi000@email.com,528-555-2438
36,Marcella Yates,marcellay2384@email.com,944-555-3773
37,Christine Hampton,christine1982@email.com,437-555-9928
38,Conrad Russell,conradrussel9@email.com,263-555-9032
39,Rick Summers,ricksummers93@email.com,844-555-4923
40,Patti Carroll,pattipatti@email.com,343-555-2847
41,Peter Moss,petermoss11@email.com,270-555-2914
